district_id,province,city,city_geocode,district,district_geocode,lon,lat
110100,北京市,北京市,110100,北京,110100,116.405285,39.904989
110101,北京市,北京市,110100,东城,110101,116.418757,39.917544
110102,北京市,北京市,110100,西城,110102,116.366794,39.915309
110105,北京市,北京市,110100,朝阳,110105,116.486409,39.921489
110106,北京市,北京市,110100,丰台,110106,116.286968,39.863642
110107,北京市,北京市,110100,石景山,110107,116.195445,39.914601
110108,北京市,北京市,110100,海淀,110108,116.310316,39.956074
110109,北京市,北京市,110100,门头沟,110109,116.105381,39.937183
110111,北京市,北京市,110100,房山,110111,116.139157,39.735535
110112,北京市,北京市,110100,通州,110112,116.658603,39.902486
110113,北京市,北京市,110100,顺义,110113,116.653525,40.128936
110114,北京市,北京市,110100,昌平,110114,116.235906,40.218085
110115,北京市,北京市,110100,大兴,110115,116.338033,39.728908
110116,北京市,北京市,110100,怀柔,110116,116.637122,40.324272
110117,北京市,北京市,110100,平谷,110117,117.112335,40.144783
110118,北京市,北京市,110100,密云,110118,116.843352,40.377362
110119,北京市,北京市,110100,延庆,110119,115.985006,40.465325
120100,天津市,天津市,120100,天津,120100,117.190182,39.125596
120101,天津市,天津市,120100,和平区,120101,117.195907,39.118327
120102,天津市,天津市,120100,河东区,120102,117.226568,39.122125
120103,天津市,天津市,120100,河西区,120103,117.217536,39.101897
120104,天津市,天津市,120100,南开区,120104,117.164143,39.120474
120105,天津市,天津市,120100,河北区,120105,117.201569,39.156632
120106,天津市,天津市,120100,红桥区,120106,117.163301,39.175066
120110,天津市,天津市,120100,东丽区,120110,117.313967,39.087764
120111,天津市,天津市,120100,西青区,120111,117.012247,39.139446
120112,天津市,天津市,120100,津南区,120112,117.382549,38.989577
120113,天津市,天津市,120100,北辰区,120113,117.13482,39.225555
120114,天津市,天津市,120100,武清区,120114,117.057959,39.376925
120115,天津市,天津市,120100,宝坻区,120115,117.308094,39.716965
120116,天津市,天津市,120100,滨海新区,120116,117.654173,39.032846
120117,天津市,天津市,120100,宁河区,120117,117.82828,39.328886
120118,天津市,天津市,120100,静海区,120118,116.925304,38.935671
120119,天津市,天津市,120100,蓟州区,120119,117.407449,40.045342
130100,河北省,石家庄市,130100,石家庄,130100,114.502461,38.045474
130102,河北省,石家庄市,130100,长安区,130102,114.548151,38.047501
130104,河北省,石家庄市,130100,桥西区,130104,114.462931,38.028383
130105,河北省,石家庄市,130100,新华区,130105,114.465974,38.067142
